CustomerID,FirstName,LastName,DateOfBirth,Age,Gender,Email,PhoneNumber,Address,City,State,ZipCode,Occupation,AnnualIncome,MonthlyIncome,EmploymentLength_Months,NumCreditAccounts,CreditHistoryLength_Months,TotalCreditLimit,TotalCreditBalance,CreditUtilizationRatio,NumLatePayments,NumMissedPayments,PaymentHistoryPct,NumLoans,TotalLoanAmount,MonthlyDebtPayment,DebtToIncomeRatio,NumHardInquiries,NumDerogatoryMarks,Bankruptcy,TaxLiens,ApplicationDate,LastPaymentDate,CreditMix,AccountStatus,InterestRate,CreditScore,CreditScoreCategory
CUST000011,Patricia,Hernand3z,1955-03-28,70,Male,patricia.hernand3z@yahoo.com,4132213266,7063 Park Ln,Houston,NY,76234,Designer,59758.27,4979.86,241,6,459,39344.74,33990.25,86.39,8,8,,3,52450.05,1602.48,32.18,10,4,0,0,01/05/2022,,Auto,In Collections,22.52%,304,Poor
CUST000012,Nancy,Clark,02-05-1958,67,Male,nancy.clark@icloud.com,717-722-4231,8460 Washington Blvd,Miami,FL,45670,NULL,296255.13,24687.93,461,22,247,117853.08,156259.85,132.6%,7,1,97.8,10,181271.5,6506.95,26.36,6,4,0,0,07-02-2016,01-14-25,,In Collections,19.84,-100,Poor
CUST000013,Donald,Jones,"July 21, 1955",70,Male,donald.jones@gmail.com,+19293801818,167 Main St,Phoenix,MI,80885,N/A,65093.15,5424.43,592,3,546,13681.88,,135.5,13,0,97.1,5,200839.87,2332.96,43.01,1,1,No,0,03-28-19,"March 22, 2025",Credit Card,In Collections,28.55,569,N/A
CUST000014,Mark,Thompson,10/25/1989,36,Male,mark.thompson@hotmail.com,3562446951,8245 Main St,Austin,New York,32288,Engineer,"$76,539.79",6378.32,72,0,145,0,838.81,83.9%,6,6,91.3,2,45586.75,627.45,N/A,10,0,0,0,12-15-20,24-08-2025,Student,Closed,13.19,,
CUST000015,Jo$eph,Gonzalez,05-30-87,38,Female,jo$eph.gonzalez@gmail.com,829-736-1159,4285 Main St,San Antonio,null,50020,Nurse,65178.87,5431.57,163,9,10,532.21,155.01,29.13,2,4,98.1,3,120330.81,1146.15,21.1,NA,0,0,0,07-31-24,10/22/2025,Personal,In Collections,21.87,677,Good
CUST000016,Charles,Gonzalez,02-11-1981,44,Male,NA,253.548.9800,6948 Maple Dr,San Antonio,FL,20105,Student,8889.66,740.8,37,11,207,64424.69,46056.78,71.5%,1,4,98.1,8,N/A,1562.67,210.94,3,3,0,FALSE,07-08-22,2024-12-11,Mortgage,In Collections,28.76,455,Poor
CUST000017,M1chael,Lewis,12/07/1979,45,Female,m1chael.lewis@gmail.com,(951) 830-6973,9267 Washington Blvd,Miami,California,74771,Mechanic,"$55,163.63",4596.97,53,25,NA,90511.61,65045.58,71.86,4,2,97.9,1,36264.21,2306.99,64.9,2,0,0,0,2025-03-07,12-23-24,None,Charged Off,24.18,596,Fair
CUST000018,Anthony,Thomas,07-07-1995,30,female,anthony.thomas@yahoo.com,682-964-5211,4997 M@in St,Chicago,PA,62394,NULL,"$229,565.09",19130.42,66,3,60,43023.84,44218.79,102.78,8,1,89.4,2,37303.19,1528.81,7.99,8,3,0,No,12/30/2021,2025-09-23,Mixed,Charged Off,21.77,510,Poor
CUST000019,Richard,Jackson,02/14/1951,74,Male,richard.jackson@gmail.com,989.553.1569,1191 Maple Dr,Houston,Florida,50376,Nurse,"$89,249.56",7437.46,211,N/A,303,31195.84,40189.01,128.8%,15,8,87.3,9,92665.94,2390.42,null,10,1,0,0,06/25/2017,N/A,None,Charged Off,11.94,380,Poor
CST20,Susan,Anderson,"April 30, 1976",49,Female,susan.anderson@gmail.com,+15039705928,7883 Main St,Los Angeles,CA,11677,Retired,659.39,54.95,335,21,N/A,13153.63,1630.69,12.4%,15,7,95.4,10,182042.76,1880.39,3422.0,0,4,Yes,0,12/17/2015,null,Mortgage,In Collections,15.2,300,Poor
CUST000021,Nancy,lopez,"October 09, 1956",69,Female,nancy.lopez@icloud.com,+13439731286,7738 Park Ln,Houston,Florida,92134,Engineer,"$143,200.53",11933.38,118,9,117,121206.8,131323.38,108.35,4,2,97.4,9,211400.26,6463.45,54.16,4,2,0,TRUE,,10-05-2025,NA,Closed,11.08%,476,Poor
CUST000022,Donna,White,07-08-04,21,NA,N/A,+15275745429,8258 Oak Ave,San Antonio,CA,93365,Accountant,NULL,NA,28,19,11,40430.48,31988.08,79.12,5,5,89.8,0,,,0,5,2,0,0,12-08-21,"August 11, 2025",credit card,In Collections,13.57,505,Poor
CUST000023,Sandra,Wilson,07-02-1998,32,Female,sandra.wilson@outlook.com,(972) 738-4453,6178 Main St,Ch1cago,Texas,38087,Acc0untant,72968.93,6080.74,36,1,87,3777.33,1544.05,40.88,1,1,91.1,3,105396.08,988.93,16.26,8,5,0,0,06/04/2017,2025-01-09,Auto,Closed,21.89%,414,Poor
CUST000024,William,Lopez,04-03-2005,20,F,,+16639135667,,Philadelphia,NC,95688,Chef,31561.21,2630.1,13,12,15,,,1.5%,10,6,95.5,2,98123.39,0,0,2,4,0,0,08-01-2025,2025-09-28,Personal,Charged Off,24.89%,441,Poor
CUST000025,Patricia,Garcia,07/30/2004,21,Male,patricia.garcia@yahoo.com,+14763344010,723 Oak Ave,Houst0n,OH,89575,Teacher,"$51,386.96",4282.25,29,21,35,2018.38,0.57,0.03,3,9,94.6,null,53687.27,764.37,17.85,NULL,5,0,0,04/21/2018,2025-10-06,Auto,Delinquent,21.82%,421,Poor
CUST000026,Donna,Lee,08-09-1953,72,Male,donna.lee@outlook.com,+18398506489,2104 Oak Ave,Ph1ladelphia,OH,10601,Developer,172287.5,14357.29,548,20,22,38387.76,51782.37,134.89,5,8,87.1,8,372539.81,5358.76,37.32,1,1,0,FALSE,"April 12, 2020",11-30-24,Credit Card,Charged Off,7.49,482,Poor
CUST000027,Barbara,Miller,05-05-2007,18,Male,barbara.miller@outlook.com,+15033598181,5694 Maple Dr,Austin,NY,NULL,null,98875.23,8239.6,0,0,0,0,716.89,71.69,7,10,90.6,0,0,83.6,,8,1,0,0,18-09-2017,"April 19, 2025",personal,Charged Off,16.81,461,Poor
CUST000028,William,L0pez,"February 23, 1982",43,Female,william.l0pez@yahoo.com,(620) 959-4597,1341 Oak Ave,N/A,CA,22868,Retired,"12,626",1052.17,106,6,139,75415.91,46405.38,61.53,5,0,97.3,8,43023.42,1596.94,151.78,3,2,0,Yes,19-09-2017,"November 04, 2025",Student,Delinquent,,449,Poor
CUST000029,Joshua,Robinson,08-08-83,42,Male,joshua.robinson@aol.com,(829) 528-6588,4267 Maple Dr,New York,CA,89978,NA,187365.27,15613.77,48,5,62,21493.33,9343.51,43.47,9,2,96.3,9,318167.92,3230.6,20.69,6,3,0,NA,2020-11-08,"November 05, 2025",Personal,NA,27.07,554,Poor
CUST000030,Matthew,Moore,01/03/1964,61,Female,matthew.moore@icloud.com,5116529707,9045 Main St,Chicago,,84919,Developer,151278.77,10500.99,464,2,494,0,1171.11,117.11,2,N/A,,8,161314.89,,,4,2,0,1,10-19-25,04/14/2025,Personal,,29.71,542,
CUST000031,Jessica,Robinson,"September 10, 1958",67,Male,jessica.robinson@yahoo.com,+12686444231,6390 Elm Street,null,OH,22686,Attorney,220559.6,18379.97,573,9,522,99232.14,20205.49,20.36,10,NA,null,7,108896.77,1422.31,,4,0,0,0,13-10-2022,"May 18, 2025",Personal,Delinquent,,737,Good
CUST000032,Charles,Jones,03/16/1987,38,Male,charles.jones@aol.com,(372) 718-2040,7869 Oak Ave,Philadelphia,TX,71154,Designer,82196.24,6849.69,64,18,61,75105.99,39189.02,,1,10,96.9,3,120886.95,2278.16,33.26,8,1,0,0,12/29/2021,"May 14, 2025",Mixed,Delinquent,10.86,540,Poor
CUST000033,Anthony,Robinson,"May 20, 1983",42,Male,anthony.robinson@hotmail.com,544.937.3634,5277 Elm Street,Austin,IL,20054,retired,13590.32,1132.53,45,5,6,62085.2,9421.03,15.17,11,0,97.6,2,37458.89,null,70.64,2,NULL,0,1,N/A,"March 30, 2025",Credit Card,Delinquent,17.1,572,NA
CUST000034,Steven,Garcia,"March 05, 1974",51,Female,steven.garcia@outlook.com,+13073239256,6227 Main St,Miami,FL,32011,Retired,14353.08,1196.09,286,2,171,18264.44,1430.02,7.8%,13,0,92.3,8,187033.79,1716.77,143.53,10,2,Yes,0,10/02/2022,01-30-25,Personal,Active,16.42,425,Poor
CUST000035,Christopher,Williams,1993-09-06,32,Male,christopher.williams@aol.com,489-590-3608,7335 Elm Street,Chicago,NC,59543,Engineer,,,91,10,139,54126.85,3228.99,5.97,4,0,97.9,5,109566.06,1513.6,0,5,5,0,0,2016-12-16,2025-06-21,Student,,16.73%,,
CUST000036,Susan,Sanchez,21-05-1958,67,Male,susan.sanchez@aol.com,285.644.7160,7945 Main St,Dallas,OH,26561,Accountant,"$57,626.22",4802.19,82,1,407,19599.43,15157.48,77.34,1,9,96.4,NA,60316.76,1302.68,27.13,6,5,1,0,"October 24, 2020",22-05-2025,Student,Charged Off,21.72,null,
CUST000037,Charles,White,1975-07-25,50,Female,charles.white@hotmail.com,5775994649,6634 Elm Street,Philadelphia,GA,81261,Chef,"$65,809.60",5484.13,58,4,367,NULL,9817.59,98.18,9,,97.1,3,65844.26,638.69,11.65,4,5,0,0,"July 10, 2024",25-05-2025,Mortgage,In Collections,16.87%,472,Poor
CUST000038,William,Wilson,"May 25, 1951",74,Female,william.wilson@aol.com,200-249-5839,4301 Park Ln,Phoenix,TX,23669,Doctor,241894.37,20157.86,655,4,626,6904.17,6128.61,88.77,8,NULL,,0,0,0,0,8,0,0,0,06/10/2021,18-08-2025,Mortgage,Charged Off,23.91%,656,Fair
CUST000039,Barbara,Sanchez,09/15/1988,37,Male,barbara.sanchez@gmail.com,794.241.2291,5586 Main St,Los Angeles,CA,51286,Attorney,"$186,737.30",15561.44,,17,4,94795.86,null,81.9%,5,,,5,178922.32,1482.07,9.52,3,1,0,0,01-08-2019,04-26-25,Credit Card,closed,7.95%,567,
CUST000040,Christopher,Williams,"November 13, 1996",29,Female,christopher.williams@gmail.com,502.213.8511,NA,New York,,84297,,147369.35,12280.78,26,,121,48632.94,31836.97,65.46,9,N/A,,1,12244.72,921.04,7.5,6,N/A,,0,09/12/2022,23-12-2024,Mixed,Charged Off,13.48,732,Good
CUST000041,Emily,Clark,1960-02-23,65,Male,emily.clark@hotmail.com,+19745377608,8347 Oak Ave,Houston,TX,46925,Analyst,"119,552",9962.67,280,21,432,146477.35,188386.43,128.61,NA,2,,7,244647.49,8251.35,82.82,2,,0,1,"May 25, 2021",02/09/2025,None,Closed,17.2,550,Poor
CUST000042,Anthony,Harris,"November 21, 1987",38,female,anthony.harris@aol.com,2934707388,7721 Elm Street,Houston,NC,76243,Designer,70105.58,5842.13,,20,204,298060.31,435027.06,145.95,11,9,90.5,2,73959.41,13707.63,,N/A,1,No,0,"January 14, 2025",2024-12-21,Personal,In Collections,9.71,455,Poor
CUST000043,Paul,White,26-03-1956,64,Male,paul.white@icloud.com,+15488333384,3799 Elm Street,Philadelphia,PA,59633,Designer,98529.1,8210.76,62,19,365,108354.12,84054.93,77.57,4,0,97.8,,88284.93,3496.66,42.59,6,2,0,0,"August 04, 2020",2025-03-23,Auto,CHARGED OFF,15.98,596,Fair
CUST000044,JAMES,GARCIA,"December 09, 1959",65,NULL,james.garcia@gmail.com,895-830-7276,9948 Park Ln,Philadelphia,MI,99647,Attorney,195609.47,16300.79,383,1,422,6103.57,5836.7,95.63,14,6,95.7,3,77878.34,649.42,3.98,9,2,Yes,1,01/18/2024,,Mortgage,Closed,20.57,300,Poor
CUST000045,Patricia,Harris,1963-07-26,62,female,patricia.harris@hotmail.com,(685) 668-5293,1483 Elm Street,Philadelphia,NY,10350,Chef,51112.37,4259.36,246,,523,70387.56,66164.74,NULL,5,8,83.8,1,6314.67,2207.68,51.83,8,1,0,0,07-12-22,,Mortgage,In Collections,11.48,561,Poor
CUST000046,David,Taylor,01/21/1966,59,NA,david.taylor@outlook.com,3256336963,2909 Washington Blvd,San Antonio,NY,68521,Unemployed,2896.44,196.28,113,0,216,NULL,3895.85,39.0%,14,8,93.4,9,54716.51,553.02,281.75,8,3,0,0,27-09-2025,2025-01-16,None,Charged Off,9.1,304,Poor
CUST000047,Elizabeth,Jones,1960-12-04,65,Male,elizabeth.jones@aol.com,9695238586,3824 Oak Ave,Houston,New York,71279,Manager,"216,748",18062.33,N/A,2,328,20163.36,29503.28,146.32,17,7,N/A,6,215558.77,3043.12,13.55,5,NULL,0,0,04-22-17,01-15-25,Personal,Charged Off,24.68,null,null
CUST000048,Charles,Ramirez,05/31/1965,60,Male,charles.ramirez@icloud.com,6064174991,6150 Park Ln,Houston,OH,95356,Designer,96798.65,8066.55,455,,5,70790.43,46435.01,65.6,5,10,95.7,10,483615.21,6210.63,91.83,1,2,0,1,2017-07-13,2025-02-17,Auto,Delinquent,19.05,443,POOR
CUST000049,Daniel,Clark,06/24/2000,25,Female,daniel.clark@hotmail.com,7206012876,1905 Main St,Aust1n,NY,18120,,"$63,964.91",5330.41,70,7,2,84938.46,44669.11,52.59,N/A,10,,2,NA,1185.76,22.25,2,2,0,0,null,N/A,Mortgage,In Collections,9.43,586,fair
CUST000050,Emily,Anderson,10/29/2000,25,MALE,emily.anderson@hotmail.com,2576327697,912 Washington Blvd,New York,NY,19685,,174203.19,14516.93,14,10,50,105843.17,151535.29,143.17,1,1,99.6,NA,26441.29,4579.85,31.55,3,null,0,No,"January 12, 2024","August 05, 2025",Mixed,In Collections,4.91,645,Fair
CUST000051,Emily,Brown,12-01-1999,26,Male,emily.brown@outlook.com,813.430.4009,1538 Oak Ave,Chicago,Florida,77281,Nurse,63017.31,5251.44,63,24,53,140815.02,118115.8,83.88,15,3,92.9,4,136763.5,5104.67,97.21,8,1,0,0,null,2025-10-05,Mixed,In Collections,8.41%,457,Poor
CUST000052,charles,Martin,11-22-64,-40,F,charles.martin@outlook.com,858-616-3528,2801 Oak Ave,Los Angeles,NC,28638,Analyst,67751.61,5645.97,0,12,0,36591.61,12656.09,34.59,5,8,94.1,7,N/A,559.48,9.91,5,4,0,0,"October 09, 2023",2025-07-14,,Closed,16.42,390,Poor
CUST000053,Matthew,Gonzalez,04-22-05,20,Female,matthew.gonzalez@gmail.com,+14056333820,3226 Washington Blvd,Philadelphia,Pennsylvania,37247,Analyst,"$66,350.77",5529.23,7,0,18,1733.55,577.11,33.29,6,5,97.7,1,20182.36,429.15,7.76,3,2,0,0,"July 27, 2019",2025-10-06,Credit Card,Delinquent,6.36%,512,Poor
CUST000054,Christopher,Taylor,1953-10-21,72,Female,christopher.taylor@outlook.com,285-552-7808,3760 Maple Dr,Phoenix,IL,63807,Manager,203968.4,16997.37,183,6,625,56811.96,68845.27,121.18,NA,6,,7,104023.9,3170.53,18.65,2,1,0,0,"September 23, 2023",01-02-2025,Mortgage,In Collections,26.03,599,Fair
CUST000055,Thomas,Gonzalez,06-10-54,-29,Female,null,4117085660,6334 Main St,Chicago,PA,54650,Doctor,"$213,748.80",17812.4,0,24,0,60900.72,11167.38,18.3%,1,2,99.3,1,25184.3,615.46,3.46,1,3,0,0,23-02-2021,04/02/2025,N/A,Delinquent,10.54,616,Fair
CUST000056,Mark,Lewis,2005-03-31,20,Female,mark.lewis@yahoo.com,496-270-9187,4958 Park Ln,Miami,IL,67156,Sales,50070.14,4172.51,24,21,8,151269.84,129919.24,85.89,9,4,,7,184421.57,5396.59,129.34,10,2,FALSE,0,05/16/2023,2025-01-31,Mortgage,Charged Off,18.44,373,Poor
CUST000057,Lisa,Taylor,1960-01-27,65,male,lisa.taylor@aol.com,NULL,2384 Washington Blvd,New York,PA,84409,Attorney,225510.53,18792.54,,0,237,,2727.52,27.28,15,2,87.5,5,48489.48,512.65,2.73,7,3,0,0,"September 04, 2025",08/13/2025,auto,In Collections,14.69,508,Poor
CUST000058,Joshua,Thompson,1982-01-27,43,Female,joshua.thompson@yahoo.com,7506358829,9853 Main St,Austin,FL,64126,Teacher,"$81,666.87",6805.57,233,9,113,104838.82,67846.7,64.72,N/A,10,NA,0,0,2029.92,29.83,4,4,0,0,09-30-20,01-03-25,Personal,Closed,18.84,451,Poor
CUST000059,Richard,Rodriguez,02/23/1979,46,Female,richard.rodriguez@outlook.com,246.576.4517,8210 Maple Dr,Philadelphia,TX,,Analyst,86534.8,7211.23,266,14,null,132934.27,71216.61,53.57,11,4,96.9,5,127172.11,3798.84,,5,5,0,0,12/23/2021,09/27/2025,Student,Active,6.51,388,Poor
CUST000060,Robert,Taylor,09/07/1990,35,male,robert.taylor@yahoo.com,542.237.4357,9451 Maple Dr,Phoenix,NC,31098,Sales,56172.2,4681.02,59,20,103,259477.72,324950.32,125.23,15,10,61.5,7,75108.61,10636.99,227.24,2,1,0,0,NULL,21-07-2025,None,In Collections,5.47%,325,Poor
CUST000061,steven,Johnson,07-18-98,27,Male,steven.johnson@@aol.com,9079982635,8433 Washington Blvd,Chicago,CA,90518,Developer,102161.24,8513.44,70,8,13,22813.47,24130.42,105.77,null,5,,0,0,null,9.4,,4,0,0,12-26-19,15-03-2025,MORTGAGE,Active,6.34,469,Poor
CUST000062,Emily,Lopez,"August 17, 1951",74,Male,emily.lopez@hotmail.com,879.879.6939,2255 Park Ln,New York,IL,40405,Retired,"6,560",546.67,32,35,637,517881.71,299256.52,57.78,6,2,96.3,7,75927.59,9856.48,1803.0,10,4,0,Yes,N/A,26-03-2025,Auto,Charged Off,15.02,300,Poor
CUST000063,Thom@s,Lewis,"March 08, 1983",42,Male,thom@s.lewis@outlook.com,7538421907,8745 Main St,Phoenix,MI,10421,,"74,269",6189.08,166,25,212,53753.88,74229.45,138.09,8,0,,0,0,2084.62,33.68,5,5,0,0,03-07-19,"December 13, 2024",Mortgage,Active,9.0,379,Poor
CUST000064,Eliz@beth,Lop3z,08-12-54,-29,Male,eliz@beth.lop3z@outlook.com,+15195915940,6427 Washington Blvd,,GA,84586,Sales,N/A,NULL,0,1,0,12860.38,16071.61,124.97,10,10,91.2,7,86812.37,NA,20.0,1,1,0,0,"April 15, 2023","December 18, 2024",None,Charged Off,19.86,438,Poor
CUST000065,Michelle,Smith,12/19/1997,27,Male,michelle.smith@outlook.com,+17055851101,,Miami,NC,96279,Developer,101877.64,8489.8,97,12,14,40471.62,24233.95,59.88,2,0,,4,187206.22,2646.33,31.17,1,5,0,No,10/22/2021,06-08-25,Mortgage,Active,24.54%,535,Poor
CUST000066,Andrew,Harris,1952-06-25,73,Male,andrew.harris@outlook.com,579.662.7410,7002 Main St,Los Angeles,MI,78063,NULL,"$73,045.95",6087.16,557,20,73,83847.56,61329.37,73.14,7,8,94.2,1,7730.02,1729.35,28.41,6,0,0,0,03-13-19,,Mixed,Closed,29.44,511,Poor
CUST000067,Christopher,Sanchez,30-09-2006,19,female,christopher.sanchez@gmail.com,226-408-7157,447 Main St,Austin,FL,81388,Chef,38054.35,3171.2,11,1,3,6742.05,6262.98,92.89,0,10,96.4,2,38262.34,493.64,15.57,1,N/A,0,TRUE,"May 19, 2022",2025-11-07,Credit Card,null,,565,Poor
CUST000068,Kimberly,Sanchez,06/29/1980,45,Male,kimberly.sanchez@outlook.com,4893339804,1122 Oak Ave,Phoenix,PA,46554,,"$14,367.10",1197.26,62,23,169,272849.63,378489.71,138.72,4,0,99.2,3,89250.14,null,66.82,10,2,No,1,"July 11, 2022",06/17/2025,Personal,DELINQUENT,4.81,467,Poor
CUST000069,Anthony,Smith,16-12-2005,19,Female,anthony.smith@aol.com,+13477112613,3314 Maple Dr,,CA,21544,Manager,132535.85,11044.65,12,7,12,34082.59,10452.97,30.67,2,,NA,8,315417.43,3788.89,34.31,7,1,0,No,07-11-25,31-05-2025,Mortgage,Delinquent,23.5,575,Poor
CUST000070,Daniel,Rodriguez,04-07-62,-37,Female,daniel.rodriguez@outlook.com,345-289-8483,3928 Washington Blvd,Chicago,PA,17927,Sales,42503.43,3541.95,0,1,0,14215.75,4258.64,29.96,12,3,82.6,8,327939.72,,0,8,15,0,0,"April 19, 2024",,Personal,Active,21.02,300,Poor
CUST000071,Nancy,Anderson,08-07-1959,66,Female,nancy.anderson@icloud.com,9655448131,5440 Park Ln,Lo$ Angeles,NC,73599,Doctor,249565.22,20797.1,149,25,17,230530.41,NA,35.12,10,1,97.8,6,262359.22,NULL,,3,,0,,16-11-2022,"February 09, 2025",Credit Card,Closed,15.64,604,Fair
CUST000072,Michelle,Jones,"October 16, 2000",25,F,michelle.jones@hotmail.com,(821) 257-7190,8908 Maple Dr,Houston,,13839,Consultant,115110.5,9592.54,38,13,35,43351.47,58660.37,135.3%,14,1,96.3,0,0,1572.45,16.39,10,3,No,0,"June 14, 2024",03/07/2025,null,Charged Off,20.08,392,Poor
CUST000073,James,Jones,10/05/1976,49,Male,james.jones@outlook.com,362-709-9107,2814 Oak Ave,Houston,FL,20938,Student,5804.8,483.73,141,0,60,1603.93,273.94,17.08,N/A,,NULL,8,288827.01,2622.07,NULL,10,5,0,0,02/04/2020,"October 27, 2025",Mortgage,Closed,23.64%,368,Poor
CUST000074,Jessica,Martinez,1966-08-31,59,Female,,882.399.7775,8678 Maple Dr,New York,OH,55010,Mechanic,69696.63,5808.05,154,7,229,41664.96,40744.88,97.8%,2,4,98.7,9,240746.31,3865.8,66.56,2,5,0,Yes,08/04/2017,"October 28, 2025",Auto,Closed,20.14%,390,Poor
CUST000075,michelle,Robinson,10-09-00,25,,michelle.robinson@icloud.com,6222765240,,Los Angeles,OH,29133,Teacher,"$44,382.85",3698.57,52,23,35,70604.95,61189.39,86.66,3,2,98.5,2,24389.45,NA,21.63,6,0,0,0,10/01/2019,N/A,Credit Card,NULL,14.37%,593,Fair
CUST000076,Matthew,Wilson,07/11/1985,40,Male,matthew.wilson@outlook.com,(621) 561-8693,9438 Maple Dr,Dallas,OH,83086,Chef,"$61,451.82",5120.98,58,19,210,205612.43,95014.53,46.2%,14,9,94.5,4,109481.77,4196.16,81.94,0,NULL,Yes,N/A,03/27/2025,"October 31, 2025",mortgage,Delinquent,27.73,473,Poor
CUST000077,Matthew,Clark,08-05-95,30,F,matthew.clark@yahoo.com,2283603585,7557 Oak Ave,New York,PA,58591,Doctor,,null,104,16,27,,,17.62,0,4,99.0,3,111744.96,0,0,6,4,0,,17-06-2023,null,Mixed,Closed,17.69,502,POOR
CUST000078,Mary,Robinson,03/06/1953,72,Female,mary.robinson@yahoo.com,930-875-3083,5342 Main St,Los Angeles,CA,47005,Sales,53337.18,4676.34,,0,,0,1225.41,,8,8,92.7,9,137479.79,1823.53,38.99,7,5,0,1,22-08-2022,2024-11-23,Mixed,Active,28.23,323,Poor
CUST000079,Lisa,Williams,2003-06-10,22,Female,,796.922.5180,4308 Elm Street,Phoenix,New York,43919,Attorney,157640.45,13136.7,12,22,44,323177.16,371950.16,115.09,15,2,95.8,6,118296.94,12453.22,94.8,0,1,0,0,01-18-25,15-09-2025,Personal,Charged Off,12.36,513,Poor
CUST000080,Ashl3y,ROBINSON,09/03/1959,66,Male,ashl3y.robinson@gmail.com,+13784735301,,San Antonio,NC,85281,Developer,93199.43,7766.62,,5,520,19354.3,11801.87,60.98,7,8,94.5,4,NA,422.76,5.44,3,0,0,0,"December 05, 2017",09-21-25,Mortgage,Delinquent,21.25,603,fair
CUST000081,Steven,Jones,"August 12, 2006",19,Female,steven.jones@aol.com,+16666405438,2797 Maple Dr,Los Angeles,IL,28264,Engineer,"$84,145.57",7012.13,9,14,0,1835691.16,628968.53,34.3%,2,0,NA,8,317057.45,22108.22,347.8,NULL,2,0,0,2025-06-13,10-09-25,N/A,Closed,22.65,370,Poor
